,Id,Name,in2000,in2015,inBoth,Group
95,3919,Other specified help to a non-dependent adult household member,TRUE,TRUE,TRUE,2
96,3920,Unspecified help to a dependent adult household member,FALSE,TRUE,FALSE,2
97,3921,Physical care of a dependent adult household member e.g. Alzheimic parent,FALSE,TRUE,FALSE,2
98,3924,Accompanying a dependent adult household member e.g. Alzheimic,FALSE,TRUE,FALSE,2
99,3929,Other specified help to a dependent adult household member,FALSE,TRUE,FALSE,2
100,4000,Unspecified volunteer work and meetings,TRUE,TRUE,TRUE,10
101,4100,Unspecified organisational work,TRUE,TRUE,TRUE,10
102,4110,Work for an organisation,TRUE,TRUE,TRUE,10
103,4120,Volunteer work through an organisation,TRUE,TRUE,TRUE,10
104,4190,Other specified organisational work,TRUE,TRUE,TRUE,10
105,4200,Unspecified informal help to other households,TRUE,TRUE,TRUE,10
106,4210,Food management as help to other households,TRUE,TRUE,TRUE,10
107,4220,Household upkeep as help to other households,TRUE,TRUE,TRUE,10
108,4230,Gardening and pet care as help to other households,TRUE,TRUE,TRUE,10
109,4240,Construction and repairs as help to other households,TRUE,TRUE,TRUE,10
110,4250,Shopping and services as help to other households,TRUE,TRUE,TRUE,10
111,4260,Help to other households in employment and farming,TRUE,TRUE,TRUE,10
112,4270,Unspecified childcare as help to other households,TRUE,TRUE,TRUE,10
113,4271,Physical care and supervision of child as help to other household,TRUE,TRUE,TRUE,10
114,4272,Teaching non-coresident child,TRUE,TRUE,TRUE,10
115,4273,Reading playing & talking to non-coresident child,TRUE,TRUE,TRUE,10
116,4274,Accompanying non-coresident child,TRUE,TRUE,TRUE,10
117,4275,Physical care and supervision of own child as help to other household,FALSE,TRUE,FALSE,10
118,4277,Reading playing & talking to own non-coresident child,FALSE,TRUE,FALSE,10
119,4278,Accompanying own non-coresident child,FALSE,TRUE,FALSE,10
120,4279,Other specified childcare as help to other household,TRUE,TRUE,TRUE,10
121,4280,Unspecified help to an adult of another household,TRUE,TRUE,TRUE,10
122,4281,Physical care and supervision of an adult as help to another household,TRUE,TRUE,TRUE,10
123,4282,Accompanying an adult as help to another household,FALSE,TRUE,FALSE,10
